impl,n_clients,n_inserts,server,total_time_ms,n_commits,commit_rate_tps,relative_commit_rate
KuaFu,32,2,Primary,62191,219639,3531.6846489041823,1.00000000000000000000
KuaFu,32,2,KuaFu,62155,219639,3533.7301906524012,1.00057919716836937706
FDR+RO,32,32,Primary,61136,82764,1353.76864695106,1.00000000000000000000
FDR+RO,32,32,FDR+RO,61818,82764,1338.8333495098516,.98896761461063123222
KuaFu+RO,32,1,Primary,62278,231495,3717.1232216834196,1.00000000000000000000
KuaFu+RO,32,1,KuaFu+RO,62382,231495,3710.926228719823,.99833285242537908358
KuaFu+RO,32,8,Primary,61180,163830,2677.8358940830335,1.00000000000000000000
KuaFu+RO,32,8,KuaFu+RO,63381,121241,1912.891876114293,.71434245852818441811
KuaFu+RO,32,256,Primary,61063,17141,280.7100863043087,1.00000000000000000000
KuaFu+RO,32,256,KuaFu+RO,62701,4828,77.0003668203059,.27430566473066557274
KuaFu+RO,32,2,Primary,62081,218108,3513.281036065785,1.00000000000000000000
KuaFu+RO,32,2,KuaFu+RO,62188,218108,3507.2361227246415,.99827941081880751909
KuaFu,32,4,Primary,61206,193936,3168.57824396301,1.00000000000000000000
KuaFu,32,4,KuaFu,63766,189344,2969.356710472666,.93712589112485564573
FDR,32,16,Primary,62049,127620,2056.7615916453124,1.00000000000000000000
FDR,32,16,FDR,62431,127620,2044.1767711553555,.99388124489436345592
KuaFu+RO,32,64,Primary,62046,51543,830.7223672758921,1.00000000000000000000
KuaFu+RO,32,64,KuaFu+RO,64015,19834,309.833632742326,.37296893035194611362
KuaFu,32,4,Primary,62093,196877,3170.6794646739568,1.00000000000000000000
KuaFu,32,4,KuaFu,64670,192029,2969.3675583732797,.93650827573597757383
KuaFu,32,16,Primary,61994,129085,2082.217633964577,1.00000000000000000000
KuaFu,32,16,KuaFu,64842,70686,1090.1267696863144,.52354122446398405671
KuaFu+RO,32,8,Primary,62160,168661,2713.336550836551,1.00000000000000000000
KuaFu+RO,32,8,KuaFu+RO,64527,123073,1907.3101182450757,.70293901346555456430
KuaFu+RO,32,8,Primary,62147,166640,2681.384459426843,1.00000000000000000000
KuaFu+RO,32,8,KuaFu+RO,64348,123783,1923.649530676944,.71740906974904002769
FDR,32,4,Primary,62193,196897,3165.902915119065,1.00000000000000000000
FDR,32,4,FDR,62061,196897,3172.6365994747102,1.00212693962391830197
FDR+RO,32,16,Primary,62005,127934,2063.285218933957,1.00000000000000000000
FDR+RO,32,16,FDR+RO,62305,127934,2053.3504534146537,.99518497712864132210
KuaFu+RO,32,128,Primary,61226,29613,483.6670695456179,1.00000000000000000000
KuaFu+RO,32,128,KuaFu+RO,62731,9917,158.08770783185346,.32685232835960758575
FDR+RO,32,32,Primary,61156,83332,1362.6136437961934,1.00000000000000000000
FDR+RO,32,32,FDR+RO,61283,83332,1359.7898275214986,.99792764714521150120
KuaFu+RO,32,2,Primary,62080,217994,3511.5012886597938,1.00000000000000000000
KuaFu+RO,32,2,KuaFu+RO,62384,217994,3494.3895870736087,.99512695562964865541
KuaFu+RO,32,32,Primary,61110,81956,1341.1225658648339,1.00000000000000000000
KuaFu+RO,32,32,KuaFu+RO,62985,38062,604.3026117329523,.45059461910050167431
FDR+RO,32,64,Primary,61112,49590,811.4609242047388,1.00000000000000000000
FDR+RO,32,64,FDR+RO,61258,49590,809.5269189330373,.99761663782689610659
FDR,32,16,Primary,62257,127790,2052.6205888494464,1.00000000000000000000
FDR,32,16,FDR,62508,127790,2044.3783195750943,.99598451398221035486
FDR,32,1,Primary,62456,233536,3739.2084027155115,1.00000000000000000000
FDR,32,1,FDR,62480,233536,3737.772087067862,.99961587708066594795
KuaFu,32,1,Primary,61104,230476,3771.8643623985336,1.00000000000000000000
KuaFu,32,1,KuaFu,61432,230476,3751.7254850892045,.99466076312019800177
